"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1046.0","","","","1"
"2020-02","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1046.5","","","","1"
"2020-03","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1047.1","","","","1"
"2020-04","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1047.2","","","","1"
"2020-05","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1047.1","","","","1"
"2020-06","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1047.4","","","","1"
"2020-07","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1047.7","","","","1"
"2020-08","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1048.2","","","","1"
"2020-09","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1048.4","","","","1"
"2020-10","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1049.1","","","","1"
"2020-11","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1049.3","","","","1"
"2020-12","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1049.4","","","","1"
"2021-01","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1049.4","","","","1"
"2021-02","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1050.4","","","","1"
"2021-03","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1050.8","","","","1"
"2021-04","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1050.8","","","","1"
"2021-05","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1050.6","","","","1"
"2021-06","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1050.4","","","","1"
"2021-07","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1051.4","","","","1"
"2021-08","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1052.3","","","","1"
"2021-09","Manitoba","2016A000246","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064132","8.1.1.1.1.1","1052.3","","","","1"
