pruid,prname,date,numconf,numtotal,numtoday
35,Ontario,1/31/2020,3,3,3
59,British Columbia,1/31/2020,1,1,1
1,Canada,1/31/2020,4,4,4
35,Ontario,2/8/2020,3,3,0
59,British Columbia,2/8/2020,4,4,3
1,Canada,2/8/2020,7,7,3
35,Ontario,2/16/2020,3,3,0
59,British Columbia,2/16/2020,5,5,1
1,Canada,2/16/2020,8,8,1
35,Ontario,2/21/2020,3,3,0
59,British Columbia,2/21/2020,6,6,1
1,Canada,2/21/2020,9,9,1
35,Ontario,2/24/2020,4,4,1
59,British Columbia,2/24/2020,6,6,0
1,Canada,2/24/2020,10,10,1
35,Ontario,2/25/2020,4,4,0
59,British Columbia,2/25/2020,7,7,1
1,Canada,2/25/2020,11,11,1
35,Ontario,2/26/2020,5,5,1
59,British Columbia,2/26/2020,7,7,0
1,Canada,2/26/2020,12,12,1
35,Ontario,2/27/2020,6,6,1
59,British Columbia,2/27/2020,7,7,0
1,Canada,2/27/2020,13,13,1
35,Ontario,2/29/2020,8,8,2
59,British Columbia,2/29/2020,7,7,0
1,Canada,2/29/2020,15,15,2
35,Ontario,3/1/2020,15,15,7
59,British Columbia,3/1/2020,8,8,1
24,Quebec,3/1/2020,1,1,1
1,Canada,3/1/2020,24,24,9
35,Ontario,3/3/2020,20,20,5
59,British Columbia,3/3/2020,12,12,4
24,Quebec,3/3/2020,1,1,0
1,Canada,3/3/2020,33,33,9
35,Ontario,3/5/2020,22,22,2
59,British Columbia,3/5/2020,21,21,9
24,Quebec,3/5/2020,2,2,1
1,Canada,3/5/2020,45,45,12
35,Ontario,3/6/2020,28,28,6
59,British Columbia,3/6/2020,21,21,0
24,Quebec,3/6/2020,2,2,0
1,Canada,3/6/2020,51,51,6
35,Ontario,3/7/2020,28,28,0
59,British Columbia,3/7/2020,27,27,6
24,Quebec,3/7/2020,2,2,0
1,Canada,3/7/2020,57,57,6
35,Ontario,3/8/2020,31,31,3
59,British Columbia,3/8/2020,27,27,0
24,Quebec,3/8/2020,3,3,1
48,Alberta,3/8/2020,1,1,1
1,Canada,3/8/2020,62,62,5
35,Ontario,3/9/2020,34,34,3
59,British Columbia,3/9/2020,32,32,5
24,Quebec,3/9/2020,4,4,1
48,Alberta,3/9/2020,7,7,6
1,Canada,3/9/2020,77,77,15
59,British Columbia,3/11/2020,39,39,7
48,Alberta,3/11/2020,14,14,7
47,Saskatchewan,3/11/2020,0,0,0
46,Manitoba,3/11/2020,0,0,0
35,Ontario,3/11/2020,42,42,8
24,Quebec,3/11/2020,7,7,3
13,New Brunswick,3/11/2020,0,0,0
10,Newfoundland and Labrador,3/11/2020,0,0,0
12,Nova Scotia,3/11/2020,0,0,0
11,Prince Edward Island,3/11/2020,0,0,0
61,Northwest Territories,3/11/2020,0,0,0
62,Nunavut,3/11/2020,0,0,0
60,Yukon,3/11/2020,0,0,0
99,Repatriated travellers,3/11/2020,1,1,1
1,Canada,3/11/2020,103,103,26
59,British Columbia,3/12/2020,46,46,7
48,Alberta,3/12/2020,19,19,5
47,Saskatchewan,3/12/2020,0,1,1
46,Manitoba,3/12/2020,0,1,1
35,Ontario,3/12/2020,59,59,17
24,Quebec,3/12/2020,13,13,6
10,Newfoundland and Labrador,3/12/2020,0,0,0
13,New Brunswick,3/12/2020,0,1,1
12,Nova Scotia,3/12/2020,0,0,0
11,Prince Edward Island,3/12/2020,0,0,0
60,Yukon,3/12/2020,0,0,0
61,Northwest Territories,3/12/2020,0,0,0
62,Nunavut,3/12/2020,0,0,0
99,Repatriated travellers,3/12/2020,1,1,0
1,Canada,3/12/2020,138,141,38
59,British Columbia,3/13/2020,53,53,7
48,Alberta,3/13/2020,23,23,4
47,Saskatchewan,3/13/2020,0,1,0
46,Manitoba,3/13/2020,1,3,2
35,Ontario,3/13/2020,79,79,20
24,Quebec,3/13/2020,17,17,4
10,Newfoundland and Labrador,3/13/2020,0,0,0
13,New Brunswick,3/13/2020,1,1,0
12,Nova Scotia,3/13/2020,0,0,0
11,Prince Edward Island,3/13/2020,0,0,0
60,Yukon,3/13/2020,0,0,0
61,Northwest Territories,3/13/2020,0,0,0
62,Nunavut,3/13/2020,0,0,0
99,Repatriated travellers,3/13/2020,2,2,1
1,Canada,3/13/2020,176,179,38
59,British Columbia,3/14/2020,64,64,11
48,Alberta,3/14/2020,29,29,6
47,Saskatchewan,3/14/2020,0,2,1
46,Manitoba,3/14/2020,1,4,1
35,Ontario,3/14/2020,79,79,0
24,Quebec,3/14/2020,17,17,0
10,Newfoundland and Labrador,3/14/2020,0,0,0
13,New Brunswick,3/14/2020,1,2,1
12,Nova Scotia,3/14/2020,0,0,0
11,Prince Edward Island,3/14/2020,0,0,0
60,Yukon,3/14/2020,0,0,0
61,Northwest Territories,3/14/2020,0,0,0
62,Nunavut,3/14/2020,0,0,0
99,Repatriated travellers,3/14/2020,2,2,0
1,Canada,3/14/2020,193,199,20
59,British Columbia,3/15/2020,73,73,9
48,Alberta,3/15/2020,39,39,10
47,Saskatchewan,3/15/2020,0,2,0
46,Manitoba,3/15/2020,4,4,0
35,Ontario,3/15/2020,103,103,24
24,Quebec,3/15/2020,24,24,7
10,Newfoundland and Labrador,3/15/2020,0,1,1
13,New Brunswick,3/15/2020,1,2,0
12,Nova Scotia,3/15/2020,0,0,0
11,Prince Edward Island,3/15/2020,1,1,1
60,Yukon,3/15/2020,0,0,0
61,Northwest Territories,3/15/2020,0,0,0
62,Nunavut,3/15/2020,0,0,0
99,Repatriated travellers,3/15/2020,4,4,2
1,Canada,3/15/2020,249,253,54
59,British Columbia,3/16/2020,73,73,0
48,Alberta,3/16/2020,56,56,17
47,Saskatchewan,3/16/2020,1,6,4
46,Manitoba,3/16/2020,4,7,3
35,Ontario,3/16/2020,145,145,42
24,Quebec,3/16/2020,39,39,15
10,Newfoundland and Labrador,3/16/2020,0,1,0
13,New Brunswick,3/16/2020,1,6,4
12,Nova Scotia,3/16/2020,0,3,3
11,Prince Edward Island,3/16/2020,1,1,0
60,Yukon,3/16/2020,0,0,0
61,Northwest Territories,3/16/2020,0,0,0
62,Nunavut,3/16/2020,0,0,0
99,Repatriated travellers,3/16/2020,4,4,0
1,Canada,3/16/2020,324,341,88
